,Active Cases,Country,Critical Cases,New Cases,New Deaths,Serious Cases,Total Cases,Total Deaths,Total Recovered,Total Test
199,11,Mongolia,5,0,0,0,15,0,4,0
200,5,Cabo Verde,13,0,0,0,7,1,1,0
201,7,Greenland,194,0,0,0,11,0,4,12648
202,3,Bhutan,6,0,0,0,5,0,2,1511
203,5751,Norway,1082,+1,+7,83,5866,83,32,20530
204,5165,Ireland,1086,0,0,165,5364,174,25,6119
205,148,Kenya,3,0,0,2,158,6,4,80
206,101,Guadeloupe,347,0,0,14,139,7,31,0
207,83504,Spain,3005,+3835,+457,7069,140510,13798,43208,7593
208,72,Monaco,1962,0,0,4,77,1,4,0
209,33,Zambia,2,0,0,0,39,1,5,34
210,33,Guinea-Bissau,17,+15,0,0,33,0,0,0
211,6,St. Vincent Grenadines,63,0,0,0,7,0,1,0
